A. IDENTIFICATION DU VEHICULE ;A.1. NUMERO D'IMMATRICULATION ;A.1.1. PLAQUE D'IMMATRICULATION ;A.1.1.1. ETAT ;A.1.1.1.1. ;Mauvais �tat de la plaque avant / D�collement de num�ro ;2; ;;
D. FREINAGE ;D.1. MESURES ;D.1.2. FREIN DE STATIONNEMENT ;D.1.2.1. FONCTIONNEMENT ;D.1.2.1.3.;Frein de parking non fonctionnement (si obligatoire) ;2;;;
D. FREINAGE ;D.1. MESURES ;D.1.2. FREIN DE STATIONNEMENT ;D.1.2.1. FONCTIONNEMENT ;D.1.2.1.4.;D�s�quilibre du frein de stationnement ;1;;;
D. FREINAGE ;D.1. MESURES ;D.1.2. FREIN DE STATIONNEMENT ;D.1.2.1. FONCTIONNEMENT ;D.1.2.1.5.;D�s�quilibre important du frein de stationnement ;2;;;
D. FREINAGE ;D.1. MESURES ;D.1.2. FREIN DE STATIONNEMENT ;D.1.2.1. FONCTIONNEMENT ;D.1.2.1.6.;Efficacit� inferieur au seuil r�glementaire ;2;;;
D. FREINAGE ;D.1. MESURES ;D.1.2. FREIN DE STATIONNEMENT ;D.1.2.2. EXISTENCE ;D.1.2.2.1.;Absence frein de parking ;2;;;
D. FREINAGE ;D.1. MESURES ;D.1.2. FREIN DE STATIONNEMENT ;D.1.2.3. DIVERS ;D.1.2.3.1.;Contr�le du frein de stationnement impossible ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.1. RESERVOIRS ;D.2.1.1. ETAT ET  FIXATION OU NIVEAU ;D.2.1.1.1.;Mauvais �tat ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.1. RESERVOIRS ;D.2.1.1. ETAT ET  FIXATION OU NIVEAU ;D.2.1.1.2.;Mauvaise fixation ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.1. RESERVOIRS ;D.2.1.1. ETAT ET  FIXATION OU NIVEAU ;D.2.1.1.3.;Niveau du liquide de frein insuffisant ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.1. RESERVOIRS ;D.2.1.1. ETAT ET  FIXATION OU NIVEAU ;D.2.1.1.4.;Absence du bouchon ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.1. RESERVOIRS ;D.2.1.1. ETAT ET  FIXATION OU NIVEAU ;D.2.1.1.5.;Temps de remplissage sup�rieur � 1mn ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.1. RESERVOIRS ;D.2.1.1. ETAT ET  FIXATION OU NIVEAU ;D.2.1.1.6.;Autonomie du r�servoir ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.1. RESERVOIRS ;D.2.1.2. ETANCHEITE ;D.2.1.2.1.;Fuite du liquide de freinage ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.1. RESERVOIRS ;D.2.1.2. ETANCHEITE ;D.2.1.2.2.;Fuite d�air comprim� ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.2. MAITRE CYLINDRE ;D.2.2.1. FIXATION ;D.2.2.1.1.;Mauvaise fixation ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.2. MAITRE CYLINDRE ;D.2.2.2. ETANCHEITE ;D.2.2.2.1.;Fuite du ma�tre cylindre ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.3. FLEXIBLE DE FREIN ;D.2.3.1. ETAT ;D.2.3.1.1.;D�t�rioration importante du flexible, Craquelures (AVD, AVG, ARD, ARG) ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.3. FLEXIBLE DE FREIN ;D.2.3.2. FIXATION ;D.2.3.2.1.;Frottement du flexible  (AVD, AVG, ARD, ARG) ;1;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.3. FLEXIBLE DE FREIN ;D.2.3.2. FIXATION ;D.2.3.2.2.;Anomalie de fixation du flexible (AVD, AVG, ARD, ARG) ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.3. FLEXIBLE DE FREIN ;D.2.3.3. ETANCHEITE ;D.2.3.3.1.;Fuite du flexible de freins ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.4. CANALISATION ;D.2.4.1. ETAT ;D.2.4.1.1.;D�t�rioration mineure ;1;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.4. CANALISATION ;D.2.4.1. ETAT ;D.2.4.1.2.;Canalisations �cras�es ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.4. CANALISATION ;D.2.4.1. ETAT ;D.2.4.1.3.;T�te d�accouplement : mauvais �tat ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.4. CANALISATION ;D.2.4.1. ETAT ;D.2.4.1.4.;Couleur des t�tes d�accouplement ou des conduites inappropri�e ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.4. CANALISATION ;D.2.4.2. FIXATION ;D.2.4.2.1.;Mauvaise fixation de la canalisation ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.4. CANALISATION ;D.2.4.2. FIXATION ;D.2.4.2.2.;Mauvaise fixation de la t�te d�accouplement ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.4. CANALISATION ;D.2.4.3. ETANCHEITE ;D.2.4.3.1.;Fuite de la canalisation (AV, C, AR) ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.4. CANALISATION ;D.2.4.4. EXISTENCE ;D.2.4.4.1.;Absence: T�te d�accouplement ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.4. CANALISATION ;D.2.4.3. ETANCHEITE ;D.2.4.3.2.;Fuite de la t�te d�accouplement ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.5. CORRECTEUR, REPARTITEUR ;D.2.5.1. ETAT ET FIXATION ;D.2.5.1.2.;Mauvaise fixation du correcteur avec risque d'accrochage ;2;;;
D. FREINAGE ;D.2. CIRCUIT HYDRAULIQUE ET/OU PNEUMATIQUE ;D.2.5. CORRECTEUR, REPARTITEUR ;D.2.5.3. ETANCHEITE ;D.2.5.3.1.;Fuite du r�partiteur ou du correcteur ;2;;;
D. FREINAGE ;D.3. ELEMENTS RECEPTEURS ;D.3.1. DISQUE ;D.3.1.1. ETAT ;D.3.1.1.1.;Usure prononc�e / Fissure / cassure du disque  (AVD, AVG, ARD, ARG) ;2; ;;
D. FREINAGE ;D.3. ELEMENTS RECEPTEURS ;D.3.1. DISQUE ;D.3.1.1. ETAT ;D.3.1.1.2.;Pr�sence de corps gras  (AVD, AVG, ARD, ARG) ;2; ;;
D. FREINAGE ;D.3. ELEMENTS RECEPTEURS ;D.3.2. TAMBOUR ;D.3.1.2. ETAT ;D.3.1.2.1.;Fissure / cassure du tambour  (AVD, AVG, ARD, ARG) ;2;;;
D. FREINAGE ;D.3. ELEMENTS RECEPTEURS ;D.3.2. TAMBOUR ;D.3.1.2. ETAT ;D.3.1.2.2.;Pr�sence de corps gras (AVD, AVG, ARD, ARG) ;2;;;
D. FREINAGE ;D.3. ELEMENTS RECEPTEURS ;D.3.3. ETRIER DE FREIN ;D.3.3.1. FIXATION ;D.3.3.1.1.;Anomalie de fixation de l��trier de frein ;2;;;
D. FREINAGE ;D.3. ELEMENTS RECEPTEURS ;D.3.3. ETRIER DE FREIN ;D.3.3.2. ETANCHEITE ;D.3.3.2.1.;Fuite de l��trier de frein ;2;;;
D. FREINAGE ;D.3. ELEMENTS RECEPTEURS ;D.3.4. CYLINDRE DE ROUES ;D.3.4.2. ETANCHEITE / FIXATION ;D.3.4.2.1.;Fuite du cylindre de roue ;2;;;
D. FREINAGE ;D.3. ELEMENTS RECEPTEURS ;D.3.4. CYLINDRE DE ROUES ;D.3.4.2. ETANCHEITE / FIXATION ;D.3.4.2.2.;Anomalie de fixation ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4.1. PEDALE DE FREIN ;D.4.1.1. ETAT ;D.4.1.1.1.;D�t�rioration importante de la p�dale de frein ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4.1. PEDALE DE FREIN ;D.4.1.2. FIXATION ;D.4.1.2.1.;Anomalie de fixation de la p�dale de frein ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4.1. PEDALE DE FREIN ;D.4.1.3. FONCTIONNEMENT ;D.4.1.3.1.;Course importante  / Mauvais retour de la p�dale de frein ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4.2. POUMONS DE FREIN ;D.4.2.1. FIXATION ;D.4.2.1.1.;Anomalie de fixation des poumons de frein ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4.2. POUMONS DE FREIN ;D.4.2.1. FIXATION ;D.4.2.1.2.;Anomalie de  fixation de la tige ou du piston ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4.2. POUMONS DE FREIN ;D.4.2.2. FONCTIONNEMENT ;D.4.2.2.1.;non fonctionnement des ressorts de rappel ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4.2. POUMONS DE FREIN ;D.4.2.3. EXISTENCE ;D.4.2.3.1.;Absence de poumon / Came ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4.2. POUMONS DE FREIN ;D.4.2.3. EXISTENCE ;D.4.2.3.2.;Absence de ressort(s) de rappel ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4.2. POUMONS DE FREIN ;D.4.2.4. ETANCHEITE ;D.4.2.4.1.;fuite des poumons de frein ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4. 3. COMMANDE DE FREIN DE STATIONNEMEMNT ;D.4.3.1. ETAT ;D.4.3.1.1.;D�t�rioration importante ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4. 3. COMMANDE DE FREIN DE STATIONNEMEMNT ;D.4.3.2. FIXATION ;D.4.3.2.1.;Anomalie de fixation ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4. 3. COMMANDE DE FREIN DE STATIONNEMEMNT ;D.4.3.3. FONCTIONNEMENT ;D.4.3.3.1.;Mauvais fonctionnement de la commande du frein de stationnement ;2;PARC SOUMIS ;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4. 3. COMMANDE DE FREIN DE STATIONNEMEMNT ;D.4.3.3. FONCTIONNEMENT ;D.4.3.3.2.;Course importante de la commande du frein de stationnement ;1; ;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4. 3. COMMANDE DE FREIN DE STATIONNEMEMNT ;D.4.3.4. EXISTENCE ;D.4.3.4.1.;Absence de verrouillage / de commande ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4.4. COMMANDE DE FREIN DE PARKING ;D.4.4.1. ETAT ;D.4.4.1.1.;D�t�rioration importante ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4.4. COMMANDE DE FREIN DE PARKING ;D.4.4.2. FIXATION ;D.4.4.2.1.;Mauvaise fixation de la commande du frein ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4.4. COMMANDE DE FREIN DE PARKING ;D.4.4.3. FONCTIONNEMENT ;D.4.4.3.1.;Mauvais fonctionnement de la commande du frein ;2;;;
D. FREINAGE ;D.4. ELEMENTS DE COMMANDES ;D.4.4. COMMANDE DE FREIN DE PARKING ;D.4.4.4. EXISTENCE ;D.4.4.4.1.;Absence de la commande du frein de parking ;2;;;
D. FREINAGE ;D.5. SYSTEME D�ASSISTANCE DE FREINAGE ;D.5.1. EQUIPEMENTS ;D.5.1.2. FONCTIONNEMENT ;D.5.1.2.1.;Anomalie importante de  fonctionnement du dispositif d'assistance ;2;;;
D. FREINAGE ;D.5. SYSTEME D�ASSISTANCE DE FREINAGE ;D.5.1. EQUIPEMENTS ;D.5.1.3. ETANCHEITE ;D.5.1.3.1.;Fuite d'assistance de freinage ;2;;;
D. FREINAGE ;D.6.  TEMOINS LUMINEUX OU SONORES ;D.6.1. TEMOIN DE NIVEAU DE LIQUIDE DE FREIN ;D.6.1.1. FONCTIONNEMENT ;D.6.1.1.1.;Non fonctionnement du t�moin sonore ou lumineux (poids lourds) ;2;;;
D. FREINAGE ;D.6.  TEMOINS LUMINEUX OU SONORES ;D.6.2. TEMOIN DE BASSE PRESSION ;D.6.2.1. FONCTIONNEMENT ;D.6.2.1.1.;Non fonctionnement du t�moin sonore et lumineux (poids lourds) ;2;;;
E. LIAISON AU SOL ;E.1. SUSPENSION ;E.1.1. MESURE ;;E.1.1.1.;Dissym�trie avant ;1; ;;
E. LIAISON AU SOL ;E.1. SUSPENSION ;E.1.1. MESURE ;;E.1.1.2.;Dissym�trie importante � l�avant ;2; ;;
E. LIAISON AU SOL ;E.1. SUSPENSION ;E.1.1. MESURE ;;E.1.1.3.;Dissym�trie arri�re ;1; ;;
E. LIAISON AU SOL ;E.1. SUSPENSION ;E.1.1. MESURE ;;E.1.1.4.;Dissym�trie importante � l�arri�re ;2; ;;
E. LIAISON AU SOL ;E.1. SUSPENSION ;E.1.1. MESURE ;;E.1.1.5.;Efficacit� insuffisante � l�avant ;2; ;;
E. LIAISON AU SOL ;E.1. SUSPENSION ;E.1.1. MESURE ;;E.1.1.6.;Efficacit� insuffisante � arri�re ;2; ;;
E. LIAISON AU SOL ;E.1. SUSPENSION ;E.1.2. ETAT ;;E.1.2.1.;Sur�l�vation anormale � l�avant ;2; ;;
E. LIAISON AU SOL ;E.1. SUSPENSION ;E.1.2. ETAT ;;E.1.2.2.;Sur�l�vation anormale � l�arri�re ;2; ;;
E. LIAISON AU SOL ;E.1. SUSPENSION ;E.1.2. ETAT ;;E.1.2.4.;Affaissement anormale � l�arri�re ;2; ;;
E. LIAISON AU SOL ;E.1. SUSPENSION ;E.1.2. ETAT ;;E.1.2.3.;Affaissement anormale � l�avant ;2; ;;
E. LIAISON AU SOL ;E.1. SUSPENSION ;E.1.3. FONCTIONNEMENT ;;E.1.3.1.;Suspension bloqu�e en position haute � l�avant ;2;PARC SOUMIS ;;
E. LIAISON AU SOL ;E.1. SUSPENSION ;E.1.3. FONCTIONNEMENT ;;E.1.3.2.;Suspension bloqu�e en position haute � l�arri�re ;2; ;;
E. LIAISON AU SOL ;E.1. SUSPENSION ;E.1.3. FONCTIONNEMENT ;;E.1.3.3.;Suspension bloqu�e en position basse � l�avant ;2; ;;
E. LIAISON AU SOL ;E.1. SUSPENSION ;E.1.3. FONCTIONNEMENT ;;E.1.3.4.;Suspension bloqu�e en position basse � l�arri�re ;2; ;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.1. AMORTISSEURS ;E.2.1.2. ETAT ;E.2.1.2.1.;Mauvais �tat de l�amortisseur  (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.1. AMORTISSEURS ;E.2.1.2. ETAT ;E.2.1.2.2.;D�formation importante de l�amortisseur  (AVD/ AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.1. AMORTISSEURS ;E.2.1.3. FIXATION ;E.2.1.3.1.;Mauvaise fixation de l�amortisseur  (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.1. AMORTISSEURS ;E.2.1.4. ETANCHEITE ;E.2.1.4.1.;Fuite de l�amortisseur  (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.1. AMORTISSEURS ;E.2.1.5. EXISTENCE ;E.2.1.5.1.;Absence ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.2. BRAS OU TRIANGLE DE SUSPENSIN ;E.2.2.1. ETAT ;E.2.2.1.1.;D�formation mineure  (AVD/AVG, ARD/ARG) ;1;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.2. BRAS OU TRIANGLE DE SUSPENSIN ;E.2.2.1. ETAT ;E.2.2.1.2.;D�formation importante  (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.2. BRAS OU TRIANGLE DE SUSPENSIN ;E.2.2.1. ETAT ;E.2.2.1.3.;Fissure / Cassure /soudure / Corrosion perforante   (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.2. BRAS OU TRIANGLE DE SUSPENSIN ;E.2.2.1. ETAT ;E.2.2.1.4.;Tampon d�t�rior� (AV, AR) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.2. BRAS OU TRIANGLE DE SUSPENSIN ;E.2.2.2. FONCTIONNEMENT ;E.2.2.1.5.;Mauvais alignement de l'essieu ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.2. BRAS OU TRIANGLE DE SUSPENSIN ;E.2.2.2. FONCTIONNEMENT ;E.2.2.2.1.;Jeu  mineur des silentblocs de bras sup. ou du triangle (AVD/AVG, ARD/ARG) ;1;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.2. BRAS OU TRIANGLE DE SUSPENSIN ;E.2.2.2. FONCTIONNEMENT ;E.2.2.2.2.;Jeu  mineur des silentblocs de bras inf. ou du triangle (AVD/AVG, ARD/ARG) ;1;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.2. BRAS OU TRIANGLE DE SUSPENSIN ;E.2.2.2. FONCTIONNEMENT ;E.2.2.2.3.;Jeu important des silentblocs de bras sup. ou du triangle (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.2. BRAS OU TRIANGLE DE SUSPENSIN ;E.2.2.2. FONCTIONNEMENT ;E.2.2.2.4.;Jeu important des silentblocs de bras inf. ou du triangle (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.2. BRAS OU TRIANGLE DE SUSPENSIN ;E.2.2.3. FIXATION ;E.2.2.3.1.;Mauvaise fixation du  bras ou du triangle (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.2. BRAS OU TRIANGLE DE SUSPENSIN ;E.2.2.3. FIXATION ;E.2.2.3.2.;Silentbloc de bras ou du triangle inappropri� ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.2. BRAS OU TRIANGLE DE SUSPENSIN ;E.2.2.3. FIXATION ;E.2.2.3.3.;Mauvaise fixation de l'essieu ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.3. TIRANT DE SUSPENSION ;E.2.3.1. ETAT ;E.2.3.1.1.;D�formation mineure  (AVD/AVG, ARD/ARG) ;1;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.3. TIRANT DE SUSPENSION ;E.2.3.1. ETAT ;E.2.3.1.2.;D�formation importante  (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.3. TIRANT DE SUSPENSION ;E.2.3.2. FONCTIONNEMENT ;E.2.3.2.1.;Jeu  mineur  (AVD/AVG, ARD/ARG) ;1;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.3. TIRANT DE SUSPENSION ;E.2.3.2. FONCTIONNEMENT ;E.2.3.2.2.;Jeu important  (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.3. TIRANT DE SUSPENSION ;E.2.3.3. FIXATION ;E.2.3.3.1.;Mauvaise fixation (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.3. TIRANT DE SUSPENSION ;E.2.3.3. FIXATION ;E.2.3.3.2.;Silentbloc du tirant inappropri� ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.4. ROTULE DE SUSPENSION ;E.2.4.1. ETAT ;E.2.4.1.1.;Rotules de suspension martel�e (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.4. ROTULE DE SUSPENSION ;E.2.4.1. ETAT ;E.2.4.1.2.;Cache poussi�re d�chir� (AVD/AVG, ARDARG) ;1;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.4. ROTULE DE SUSPENSION ;E.2.4.1. ETAT ;E.2.4.1.3.;Chape de fixation ovalis�e (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.4. ROTULE DE SUSPENSION ;E.2.4.2. FONCTIONNEMENT ;E.2.4.2.1.;Rotule sup. Jeu  mineur (AVD/AVG, ARD/ARG) ;1;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.4. ROTULE DE SUSPENSION ;E.2.4.2. FONCTIONNEMENT ;E.2.4.2.2.;Rotule inf. Jeu  mineur (AVD/AVG, ARD/ARG) ;1;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.4. ROTULE DE SUSPENSION ;E.2.4.2. FONCTIONNEMENT ;E.2.4.2.3.;Rotule sup. Jeu important (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.4. ROTULE DE SUSPENSION ;E.2.4.2. FONCTIONNEMENT ;E.2.4.2.4.;Rotule inf. Jeu  important (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.4. ROTULE DE SUSPENSION ;E.2.4.3. FIXATION ;E.2.4.3.1.;Mauvaise fixation  (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.5. BARRE STABILISATRICE ;E.2.5.1. ETAT ;E.2.5.1.1.;D�formation mineure (AV/ AR) ;1;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.5. BARRE STABILISATRICE ;E.2.5.1. ETAT ;E.2.5.1.2.;D�formation importante (AV/AR) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.5. BARRE STABILISATRICE ;E.2.5.1. ETAT ;E.2.5.1.3.;Cassure (AV, AR) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.5. BARRE STABILISATRICE ;E.2.5.2. FONCTIONNEMENT ;E.2.5.2.1.;Jeu  mineur  (AVD/AVG, ARD/ARG) ;1;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.5. BARRE STABILISATRICE ;E.2.5.2. FONCTIONNEMENT ;E.2.5.2.2.;Jeu important  (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.5. BARRE STABILISATRICE ;E.2.5.3. FIXATION ;E.2.5.3.1.;Mauvaise fixation  (AV/AR) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.5. BARRE STABILISATRICE ;E.2.5.3. FIXATION ;E.2.5.3.2.;Silentbloc inappropri� (AV/AR) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.5. BARRE STABILISATRICE ;E.2.5.4. EXISTENCE ;E.2.5.4.1.;Absence (AV/AR) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.6. LES JUMELLES ;E.2.6.1. ETAT ;E.2.6.1.1.;Silentbloc cass� (AVD/ARG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.6. LES JUMELLES ;E.2.6.1. ETAT ;E.2.6.1.2.;Silentbloc inappropri� (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.6. LES JUMELLES ;E.2.6.2. FONCTIONNEMENT ;E.2.6.2.1.;Jeu  mineur  (AVD/AVG, ARD/ARG) ;1;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.6. LES JUMELLES ;E.2.6.2. FONCTIONNEMENT ;E.2.6.2.2.;Jeu important (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.6. LES JUMELLES ;E.2.6.3. FIXATION ;E.2.6.3.1.;Mauvaise fixation  (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.7.  RESSORT HELICOIDAL ;E.2.7.1. ETAT ;E.2.7.1.1.;Ressort cass� (AVD/AVG, ARD/ARG) ;2;;;
E. LIAISON AU SOL ;E.2. TRAINS, ESSIEUX (y compris ANCRAGES) ;E.2.7.  RESSORT HELICOIDAL ;E.2.7.2. FIXATION ;E.2.7.2.1.;Mauvaise fixation  (AVD/AVG, ARD/ARG) ;2;;;
